sale_date,sale_hour,guests_count_act,guests_count_pred,residual,fold
2026-04-13,7,49,58,-9,recent_w2
2026-04-13,8,83,87,-4,recent_w2
2026-04-13,9,84,90,-6,recent_w2
2026-04-13,10,84,83,1,recent_w2
2026-04-13,11,100,105,-5,recent_w2
2026-04-13,12,167,183,-16,recent_w2
2026-04-13,13,183,194,-11,recent_w2
2026-04-13,14,141,156,-15,recent_w2
2026-04-13,15,136,147,-11,recent_w2
2026-04-13,16,114,138,-24,recent_w2
2026-04-13,17,129,141,-12,recent_w2
2026-04-13,18,137,137,0,recent_w2
2026-04-13,19,121,123,-2,recent_w2
2026-04-13,20,122,112,10,recent_w2
2026-04-13,21,93,91,2,recent_w2
2026-04-13,22,57,70,-13,recent_w2
2026-04-14,7,60,61,-1,recent_w2
2026-04-14,8,85,89,-4,recent_w2
2026-04-14,9,100,93,7,recent_w2
2026-04-14,10,78,89,-11,recent_w2
2026-04-14,11,113,108,5,recent_w2
2026-04-14,12,191,192,-1,recent_w2
2026-04-14,13,211,200,11,recent_w2
2026-04-14,14,127,159,-32,recent_w2
2026-04-14,15,140,149,-9,recent_w2
2026-04-14,16,113,138,-25,recent_w2
2026-04-14,17,121,136,-15,recent_w2
2026-04-14,18,124,142,-18,recent_w2
2026-04-14,19,123,132,-9,recent_w2
2026-04-14,20,101,115,-14,recent_w2
2026-04-14,21,84,96,-12,recent_w2
2026-04-14,22,59,74,-15,recent_w2
2026-04-15,7,51,51,0,recent_w2
2026-04-15,8,82,85,-3,recent_w2
2026-04-15,9,93,85,8,recent_w2
2026-04-15,10,82,85,-3,recent_w2
2026-04-15,11,90,109,-19,recent_w2
2026-04-15,12,186,191,-5,recent_w2
2026-04-15,13,207,199,8,recent_w2
2026-04-15,14,163,156,7,recent_w2
2026-04-15,15,143,145,-2,recent_w2
2026-04-15,16,132,138,-6,recent_w2
2026-04-15,17,133,145,-12,recent_w2
2026-04-15,18,149,148,1,recent_w2
2026-04-15,19,129,135,-6,recent_w2
2026-04-15,20,115,119,-4,recent_w2
2026-04-15,21,80,96,-16,recent_w2
2026-04-15,22,68,77,-9,recent_w2
2026-04-16,7,52,59,-7,recent_w2
2026-04-16,8,102,93,9,recent_w2
2026-04-16,9,97,98,-1,recent_w2
2026-04-16,10,84,91,-7,recent_w2
2026-04-16,11,111,111,0,recent_w2
2026-04-16,12,197,196,1,recent_w2
2026-04-16,13,195,203,-8,recent_w2
2026-04-16,14,182,151,31,recent_w2
2026-04-16,15,155,153,2,recent_w2
2026-04-16,16,135,142,-7,recent_w2
2026-04-16,17,133,145,-12,recent_w2
2026-04-16,18,145,151,-6,recent_w2
2026-04-16,19,144,139,5,recent_w2
2026-04-16,20,131,124,7,recent_w2
2026-04-16,21,106,100,6,recent_w2
2026-04-16,22,82,81,1,recent_w2
2026-04-17,7,61,65,-4,recent_w2
2026-04-17,8,108,98,10,recent_w2
2026-04-17,9,103,105,-2,recent_w2
2026-04-17,10,96,91,5,recent_w2
2026-04-17,11,110,113,-3,recent_w2
2026-04-17,12,208,195,13,recent_w2
2026-04-17,13,206,212,-6,recent_w2
2026-04-17,14,172,165,7,recent_w2
2026-04-17,15,152,159,-7,recent_w2
2026-04-17,16,130,155,-25,recent_w2
2026-04-17,17,153,164,-11,recent_w2
2026-04-17,18,166,164,2,recent_w2
2026-04-17,19,141,153,-12,recent_w2
2026-04-17,20,137,138,-1,recent_w2
2026-04-17,21,115,110,5,recent_w2
2026-04-17,22,98,98,0,recent_w2
2026-04-18,7,32,36,-4,recent_w2
2026-04-18,8,55,60,-5,recent_w2
2026-04-18,9,76,76,0,recent_w2
2026-04-18,10,74,73,1,recent_w2
2026-04-18,11,92,84,8,recent_w2
2026-04-18,12,128,123,5,recent_w2
2026-04-18,13,154,135,19,recent_w2
2026-04-18,14,159,146,13,recent_w2
2026-04-18,15,148,136,12,recent_w2
2026-04-18,16,144,135,9,recent_w2
2026-04-18,17,170,145,25,recent_w2
2026-04-18,18,139,137,2,recent_w2
2026-04-18,19,128,128,0,recent_w2
2026-04-18,20,110,117,-7,recent_w2
2026-04-18,21,90,89,1,recent_w2
2026-04-18,22,87,84,3,recent_w2
2026-04-19,7,26,25,1,recent_w2
2026-04-19,8,44,42,2,recent_w2
2026-04-19,9,54,56,-2,recent_w2
2026-04-19,10,58,52,6,recent_w2
2026-04-19,11,66,68,-2,recent_w2
2026-04-19,12,96,89,7,recent_w2
2026-04-19,13,136,103,33,recent_w2
2026-04-19,14,132,125,7,recent_w2
2026-04-19,15,138,128,10,recent_w2
2026-04-19,16,120,131,-11,recent_w2
2026-04-19,17,121,127,-6,recent_w2
2026-04-19,18,130,120,10,recent_w2
2026-04-19,19,103,115,-12,recent_w2
2026-04-19,20,101,101,0,recent_w2
2026-04-19,21,82,86,-4,recent_w2
2026-04-19,22,69,70,-1,recent_w2
