sale_date,sale_hour,guests_count_act,guests_count_pred,residual,fold
2026-04-06,7,66,53,13,recent_w3
2026-04-06,8,92,85,7,recent_w3
2026-04-06,9,97,96,1,recent_w3
2026-04-06,10,78,81,-3,recent_w3
2026-04-06,11,108,101,7,recent_w3
2026-04-06,12,191,178,13,recent_w3
2026-04-06,13,189,184,5,recent_w3
2026-04-06,14,169,147,22,recent_w3
2026-04-06,15,145,148,-3,recent_w3
2026-04-06,16,125,140,-15,recent_w3
2026-04-06,17,136,134,2,recent_w3
2026-04-06,18,129,139,-10,recent_w3
2026-04-06,19,108,129,-21,recent_w3
2026-04-06,20,112,114,-2,recent_w3
2026-04-06,21,82,94,-12,recent_w3
2026-04-06,22,62,74,-12,recent_w3
2026-04-07,7,53,56,-3,recent_w3
2026-04-07,8,93,88,5,recent_w3
2026-04-07,9,92,102,-10,recent_w3
2026-04-07,10,88,87,1,recent_w3
2026-04-07,11,119,103,16,recent_w3
2026-04-07,12,198,189,9,recent_w3
2026-04-07,13,215,194,21,recent_w3
2026-04-07,14,166,165,1,recent_w3
2026-04-07,15,159,153,6,recent_w3
2026-04-07,16,143,145,-2,recent_w3
2026-04-07,17,142,143,-1,recent_w3
2026-04-07,18,155,154,1,recent_w3
2026-04-07,19,131,144,-13,recent_w3
2026-04-07,20,106,120,-14,recent_w3
2026-04-07,21,87,99,-12,recent_w3
2026-04-07,22,71,82,-11,recent_w3
2026-04-08,7,51,52,-1,recent_w3
2026-04-08,8,87,86,1,recent_w3
2026-04-08,9,100,98,2,recent_w3
2026-04-08,10,89,85,4,recent_w3
2026-04-08,11,104,103,1,recent_w3
2026-04-08,12,183,189,-6,recent_w3
2026-04-08,13,207,189,18,recent_w3
2026-04-08,14,149,160,-11,recent_w3
2026-04-08,15,134,151,-17,recent_w3
2026-04-08,16,123,142,-19,recent_w3
2026-04-08,17,141,148,-7,recent_w3
2026-04-08,18,145,156,-11,recent_w3
2026-04-08,19,127,146,-19,recent_w3
2026-04-08,20,119,122,-3,recent_w3
2026-04-08,21,84,100,-16,recent_w3
2026-04-08,22,68,83,-15,recent_w3
2026-04-09,7,62,55,7,recent_w3
2026-04-09,8,90,86,4,recent_w3
2026-04-09,9,103,104,-1,recent_w3
2026-04-09,10,85,91,-6,recent_w3
2026-04-09,11,113,110,3,recent_w3
2026-04-09,12,199,191,8,recent_w3
2026-04-09,13,178,190,-12,recent_w3
2026-04-09,14,151,159,-8,recent_w3
2026-04-09,15,152,157,-5,recent_w3
2026-04-09,16,122,144,-22,recent_w3
2026-04-09,17,123,145,-22,recent_w3
2026-04-09,18,134,154,-20,recent_w3
2026-04-09,19,108,148,-40,recent_w3
2026-04-09,20,99,126,-27,recent_w3
2026-04-09,21,93,104,-11,recent_w3
2026-04-09,22,79,87,-8,recent_w3
2026-04-10,7,57,60,-3,recent_w3
2026-04-10,8,129,93,36,recent_w3
2026-04-10,9,100,102,-2,recent_w3
2026-04-10,10,76,93,-17,recent_w3
2026-04-10,11,111,111,0,recent_w3
2026-04-10,12,198,197,1,recent_w3
2026-04-10,13,223,192,31,recent_w3
2026-04-10,14,170,162,8,recent_w3
2026-04-10,15,148,162,-14,recent_w3
2026-04-10,16,147,160,-13,recent_w3
2026-04-10,17,171,162,9,recent_w3
2026-04-10,18,171,171,0,recent_w3
2026-04-10,19,145,161,-16,recent_w3
2026-04-10,20,127,143,-16,recent_w3
2026-04-10,21,114,112,2,recent_w3
2026-04-10,22,96,96,0,recent_w3
2026-04-11,7,25,33,-8,recent_w3
2026-04-11,8,55,58,-3,recent_w3
2026-04-11,9,68,81,-13,recent_w3
2026-04-11,10,68,72,-4,recent_w3
2026-04-11,11,85,83,2,recent_w3
2026-04-11,12,126,123,3,recent_w3
2026-04-11,13,131,140,-9,recent_w3
2026-04-11,14,142,144,-2,recent_w3
2026-04-11,15,129,142,-13,recent_w3
2026-04-11,16,134,137,-3,recent_w3
2026-04-11,17,147,148,-1,recent_w3
2026-04-11,18,119,147,-28,recent_w3
2026-04-11,19,111,142,-31,recent_w3
2026-04-11,20,124,122,2,recent_w3
2026-04-11,21,102,93,9,recent_w3
2026-04-11,22,91,86,5,recent_w3
2026-04-12,7,18,25,-7,recent_w3
2026-04-12,8,32,43,-11,recent_w3
2026-04-12,9,47,64,-17,recent_w3
2026-04-12,10,47,59,-12,recent_w3
2026-04-12,11,56,70,-14,recent_w3
2026-04-12,12,85,90,-5,recent_w3
2026-04-12,13,103,109,-6,recent_w3
2026-04-12,14,99,129,-30,recent_w3
2026-04-12,15,118,131,-13,recent_w3
2026-04-12,16,118,144,-26,recent_w3
2026-04-12,17,123,143,-20,recent_w3
2026-04-12,18,101,140,-39,recent_w3
2026-04-12,19,110,129,-19,recent_w3
2026-04-12,20,82,113,-31,recent_w3
2026-04-12,21,79,87,-8,recent_w3
2026-04-12,22,64,81,-17,recent_w3
