sale_date,sale_hour,guests_count_act,guests_count_pred,residual,fold
2026-03-30,7,56,52,4,recent_w4
2026-03-30,8,85,85,0,recent_w4
2026-03-30,9,100,92,8,recent_w4
2026-03-30,10,82,77,5,recent_w4
2026-03-30,11,108,103,5,recent_w4
2026-03-30,12,193,182,11,recent_w4
2026-03-30,13,202,187,15,recent_w4
2026-03-30,14,148,151,-3,recent_w4
2026-03-30,15,157,154,3,recent_w4
2026-03-30,16,141,150,-9,recent_w4
2026-03-30,17,143,153,-10,recent_w4
2026-03-30,18,143,153,-10,recent_w4
2026-03-30,19,122,144,-22,recent_w4
2026-03-30,20,106,121,-15,recent_w4
2026-03-30,21,95,94,1,recent_w4
2026-03-30,22,68,82,-14,recent_w4
2026-03-31,7,61,53,8,recent_w4
2026-03-31,8,91,88,3,recent_w4
2026-03-31,9,105,95,10,recent_w4
2026-03-31,10,85,87,-2,recent_w4
2026-03-31,11,108,106,2,recent_w4
2026-03-31,12,210,193,17,recent_w4
2026-03-31,13,214,196,18,recent_w4
2026-03-31,14,194,162,32,recent_w4
2026-03-31,15,179,158,21,recent_w4
2026-03-31,16,150,149,1,recent_w4
2026-03-31,17,144,150,-6,recent_w4
2026-03-31,18,172,157,15,recent_w4
2026-03-31,19,158,147,11,recent_w4
2026-03-31,20,114,121,-7,recent_w4
2026-03-31,21,109,91,18,recent_w4
2026-03-31,22,86,78,8,recent_w4
2026-04-01,7,51,54,-3,recent_w4
2026-04-01,8,84,88,-4,recent_w4
2026-04-01,9,94,96,-2,recent_w4
2026-04-01,10,81,87,-6,recent_w4
2026-04-01,11,107,107,0,recent_w4
2026-04-01,12,187,195,-8,recent_w4
2026-04-01,13,192,196,-4,recent_w4
2026-04-01,14,163,164,-1,recent_w4
2026-04-01,15,140,157,-17,recent_w4
2026-04-01,16,133,151,-18,recent_w4
2026-04-01,17,139,152,-13,recent_w4
2026-04-01,18,142,158,-16,recent_w4
2026-04-01,19,145,152,-7,recent_w4
2026-04-01,20,122,125,-3,recent_w4
2026-04-01,21,88,97,-9,recent_w4
2026-04-01,22,79,81,-2,recent_w4
2026-04-02,7,53,56,-3,recent_w4
2026-04-02,8,100,92,8,recent_w4
2026-04-02,9,105,103,2,recent_w4
2026-04-02,10,93,92,1,recent_w4
2026-04-02,11,98,109,-11,recent_w4
2026-04-02,12,171,198,-27,recent_w4
2026-04-02,13,209,196,13,recent_w4
2026-04-02,14,159,164,-5,recent_w4
2026-04-02,15,148,161,-13,recent_w4
2026-04-02,16,131,157,-26,recent_w4
2026-04-02,17,143,153,-10,recent_w4
2026-04-02,18,142,157,-15,recent_w4
2026-04-02,19,136,142,-6,recent_w4
2026-04-02,20,118,121,-3,recent_w4
2026-04-02,21,90,103,-13,recent_w4
2026-04-02,22,79,88,-9,recent_w4
2026-04-03,7,64,61,3,recent_w4
2026-04-03,8,99,97,2,recent_w4
2026-04-03,9,117,108,9,recent_w4
2026-04-03,10,81,97,-16,recent_w4
2026-04-03,11,89,112,-23,recent_w4
2026-04-03,12,235,201,34,recent_w4
2026-04-03,13,206,206,0,recent_w4
2026-04-03,14,172,168,4,recent_w4
2026-04-03,15,163,169,-6,recent_w4
2026-04-03,16,172,163,9,recent_w4
2026-04-03,17,175,165,10,recent_w4
2026-04-03,18,196,170,26,recent_w4
2026-04-03,19,176,158,18,recent_w4
2026-04-03,20,164,139,25,recent_w4
2026-04-03,21,135,112,23,recent_w4
2026-04-03,22,116,101,15,recent_w4
2026-04-04,7,28,33,-5,recent_w4
2026-04-04,8,58,59,-1,recent_w4
2026-04-04,9,75,77,-2,recent_w4
2026-04-04,10,74,74,0,recent_w4
2026-04-04,11,89,87,2,recent_w4
2026-04-04,12,119,121,-2,recent_w4
2026-04-04,13,133,150,-17,recent_w4
2026-04-04,14,163,146,17,recent_w4
2026-04-04,15,153,147,6,recent_w4
2026-04-04,16,141,147,-6,recent_w4
2026-04-04,17,139,152,-13,recent_w4
2026-04-04,18,139,150,-11,recent_w4
2026-04-04,19,152,138,14,recent_w4
2026-04-04,20,121,119,2,recent_w4
2026-04-04,21,97,94,3,recent_w4
2026-04-04,22,83,94,-11,recent_w4
2026-04-05,7,30,25,5,recent_w4
2026-04-05,8,44,42,2,recent_w4
2026-04-05,9,58,66,-8,recent_w4
2026-04-05,10,46,63,-17,recent_w4
2026-04-05,11,65,71,-6,recent_w4
2026-04-05,12,80,87,-7,recent_w4
2026-04-05,13,92,114,-22,recent_w4
2026-04-05,14,136,124,12,recent_w4
2026-04-05,15,129,134,-5,recent_w4
2026-04-05,16,139,135,4,recent_w4
2026-04-05,17,116,138,-22,recent_w4
2026-04-05,18,120,140,-20,recent_w4
2026-04-05,19,103,128,-25,recent_w4
2026-04-05,20,91,112,-21,recent_w4
2026-04-05,21,83,90,-7,recent_w4
2026-04-05,22,65,82,-17,recent_w4
