model,MAE,RMSE,WAPE,SMAPE
recent_8w_median_dow_hour,8.941964285714286,11.474058473667583,7.841371750704666,9.615767659993898
median_dow_hour,11.308035714285714,14.476350788194418,9.916222987785781,12.453060413065732
seasonal_naive_lag_7d,12.089285714285714,15.389583675794668,10.601315377388037,12.684851325900953
mean_dow_hour,12.698879818456604,15.815207006575426,11.135879577725802,13.775504026273364
