approach,fold,val_start,val_end,mae,rmse,wape,bias,pinball_0.7,emp_mae,coverage,overstaff,understaff
B1_median_8w,rolling_w1,2026-04-20,2026-04-26,8.941964285714286,11.474058473667583,0.07841371750704666,0.6205357142857143,4.346875,0.625,0.8482142857142857,0.33035714285714285,0.29464285714285715
B1_median_8w,rolling_w2,2026-04-13,2026-04-19,8.651785714285714,11.178742581985047,0.0745269958467928,-3.6160714285714284,5.049107142857143,0.6696428571428571,0.7321428571428571,0.19642857142857142,0.4732142857142857
B1_median_8w,rolling_w3,2026-04-06,2026-04-12,9.46875,12.350263878036893,0.08265139116202946,-2.96875,5.328125,0.8482142857142857,0.7321428571428571,0.30357142857142855,0.5446428571428571
B1_median_8w,may_2025,2025-04-28,2025-05-04,22.308035714285715,30.444805151524385,0.20985217537376114,9.816964285714286,9.190624999999999,1.3839285714285714,0.7678571428571429,1.0,0.38392857142857145
B1_median_8w,victory_2025,2025-05-05,2025-05-11,20.90625,32.1663158443736,0.20543077732935602,15.388392857142858,7.375446428571428,1.3035714285714286,0.875,1.1071428571428572,0.19642857142857142
B1_median_8w,feb23_2026,2026-02-23,2026-03-01,13.455357142857142,19.90670203007735,0.1363307400036186,2.1607142857142856,6.295535714285714,0.875,0.75,0.4642857142857143,0.4107142857142857
B2_seasonal_naive_7d,rolling_w1,2026-04-20,2026-04-26,12.089285714285714,15.389583675794668,0.10601315377388036,2.0535714285714284,5.633928571428571,0.8660714285714286,0.7857142857142857,0.5267857142857143,0.3392857142857143
B2_seasonal_naive_7d,rolling_w2,2026-04-13,2026-04-19,11.026785714285714,14.131714586095246,0.09498538686355945,-1.5267857142857142,5.8187500000000005,0.8125,0.7321428571428571,0.36607142857142855,0.44642857142857145
B2_seasonal_naive_7d,rolling_w3,2026-04-06,2026-04-12,11.758928571428571,15.01754925792773,0.10264203881225158,6.616071428571429,4.55625,0.9642857142857143,0.875,0.7410714285714286,0.22321428571428573
B2_seasonal_naive_7d,may_2025,2025-04-28,2025-05-04,24.571428571428573,34.11378020683137,0.23114396102805307,17.982142857142858,8.689285714285715,1.5267857142857142,0.8571428571428571,1.3214285714285714,0.20535714285714285
B2_seasonal_naive_7d,victory_2025,2025-05-05,2025-05-11,14.839285714285714,19.65824072930812,0.14581505527285488,4.535714285714286,6.512500000000001,0.9017857142857143,0.7767857142857143,0.5803571428571429,0.32142857142857145
B2_seasonal_naive_7d,feb23_2026,2026-02-23,2026-03-01,14.241071428571429,19.70881782350225,0.1442916591279175,-0.2767857142857143,7.175892857142857,0.9196428571428571,0.7142857142857143,0.42857142857142855,0.49107142857142855
M1_single_lgbm_q0.7,rolling_w1,2026-04-20,2026-04-26,15.446428571428571,18.35026274626995,0.13545255245850296,13.571428571428571,5.008928571428572,1.125,0.9642857142857143,1.0446428571428572,0.08035714285714286
M1_single_lgbm_q0.7,rolling_w2,2026-04-13,2026-04-19,10.401785714285714,13.315203447831463,0.08960159975388401,8.651785714285714,3.4705357142857145,0.75,0.9642857142857143,0.6964285714285714,0.05357142857142857
M1_single_lgbm_q0.7,rolling_w3,2026-04-06,2026-04-12,14.178571428571429,17.753772234976672,0.1237627620606344,11.928571428571429,4.703571428571429,1.0535714285714286,0.9285714285714286,0.9107142857142857,0.14285714285714285
M1_single_lgbm_q0.7,may_2025,2025-04-28,2025-05-04,16.258928571428573,20.76462479451875,0.15294809339828658,0.6339285714285714,8.002678571428572,0.9821428571428571,0.6964285714285714,0.48214285714285715,0.5
M1_single_lgbm_q0.7,victory_2025,2025-05-05,2025-05-11,14.598214285714286,20.231914322249814,0.14344621863484822,6.955357142857143,5.908035714285715,0.9285714285714286,0.8482142857142857,0.6785714285714286,0.25
M1_single_lgbm_q0.7,feb23_2026,2026-02-23,2026-03-01,9.285714285714286,11.933596033288302,0.09408358965080514,4.517857142857143,3.7392857142857143,0.625,0.8571428571428571,0.4375,0.1875
M2_ensemble_4model,rolling_w1,2026-04-20,2026-04-26,11.178571428571429,13.698931136614794,0.09802693391794551,7.125,4.164285714285715,0.8482142857142857,0.9107142857142857,0.7053571428571429,0.14285714285714285
M2_ensemble_4model,rolling_w2,2026-04-13,2026-04-19,8.017857142857142,10.617539397484846,0.06906629749269343,3.4642857142857144,3.316071428571429,0.5625,0.8839285714285714,0.4107142857142857,0.15178571428571427
